,Drug_Name,Uses,Image URL,Manufacturer,Rating,Route_of_Administration
17,Temsan-AM 5 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ygrvro4uby4dladkugkx.jpg",Emcure Pharmaceuticals Ltd,5.0,Tablet
18,Pregcert -AQ 25 Injection,Hormone replacement therapyTreatment Female infertility,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/8a280d2ad2d440b9917230b54650ca4b.jpg",Koye Pharmaceuticals Pvt ltd,5.0,Injection
19,Laformin GV 2mg/500mg/0.2mg Tablet ER,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ilky995iwyum6ukdywmt.jpg",La Renon Healthcare Pvt Ltd,5.0,ER
20,Anbid 500 Tablet,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/phtlofbn4evzbfjxogkr.jpg",AN Pharmaceuticals Pvt Ltd,5.0,Tablet
21,Leuprolide 3.75mg Depot One Combipack,Prostate cancerTreatment EndometriosisTreatment Uterine fibroidsTreatment Precocious puberty (premature puberty),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/bqaxnexxezpnipf1xwqa.jpg",Lupin Ltd,5.0,Combipack
22,Aeocal Max Softgel Capsule,Nutritional deficiencies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/it9lvqcoxqzn6adyofxg.jpg",Aeobury Healthcare Pvt Ltd,5.0,Capsule
23,Angizem DP 90 Capsule MR,Hypertension (high blood pressure) Angina (heart-related chest pain) Arrhythmia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/jumz2e83bq9ltgjsbqcv.jpg",Sun Pharmaceutical Industries Ltd,5.0,MR
24,AA 5 Tablet,Allergic conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/vwk2ixq62wfjsclmsr2f.jpg",Blaze Remedies,5.0,Tablet
25,Atpark 25 Tablet,Hypertension (high blood pressure) Angina (heart-related chest pain) ArrhythmiaPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/wr1x10fx0hrzezypmpaq.jpg",Pfizer Ltd,5.0,Tablet
26,Ark 100mg Tablet SR,Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/314fd6d88a71451597e1021a458ede9e.jpg",Apex Laboratories Pvt Ltd,5.0,SR
27,Alz Plus  Tablet,Sneezing runny nose allergiesTreatment Hay feverTreatment Allergic skin conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/d4uzhpxrgl5fqxeteblk.jpg",Athens Labs Ltd,5.0,Tablet
28,Azep Nasal Spray,Sneezing runny nose allergies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/rikzn4wj2qztgmukmtd3.jpg",German Remedies,5.0,Spray
29,Atorlip 80 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/kpdx9exx56yxax4vlidy.jpg",Cipla Ltd,5.0,Tablet
30,Gflotas D Eye Drop,Bacterial eye infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/c9946653d7154d7baa33f9e38fc76a81.jpg",Intas Pharmaceuticals Ltd,5.0,Drop
31,Gabamax NT 50mg/10mg Tablet,Neuropathic pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/549422f25a83453b847fab52e6e7bdf2.jpg",Aristo Pharmaceuticals Pvt Ltd,5.0,Tablet
32,Glimisave M1 Forte Tablet PR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/5aad7d1b15f2430ba5c62cff01c82e15.jpg",Eris Lifesciences Ltd,5.0,PR
33,Azuvas 10 Tablet,High cholesterol heart attack stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/gu3uwhetiqwwchasqrbb.jpg",Azkka Pharmaceuticals Pvt Ltd,5.0,Tablet
34,Polaramine Paediatric Syrup,Allergic conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/pdnqcswzpsbvta9cnedc.jpg",Fulford India Ltd,5.0,Syrup
35,Nugliptin M 500 Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/o9rnmnorlgnzc78tbvbt.jpg",RPG Life Sciences Ltd,5.0,Tablet
36,Piopar-MF 15 Tablet ER,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ba28c90229e94ea490342ee90a52c003.jpg",Mitoch Pharma Pvt Ltd,5.0,ER
37,Lidozone  Ear Drop,Ear pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/v51phmd4boy0mjxjd3lw.jpg",Delcure Life Sciences,5.0,Drop
38,Pramirol 1 Tablet,Parkinson's Restless leg syndrome,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/f6njuivhqqarjy9f9fzi.jpg",Intas Pharmaceuticals Ltd,5.0,Tablet
39,Lee Dott Oral Powder,Diarrhea,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/8066acf441924d02a08c13214fc5740d.jpg",Leeford Healthcare Ltd,5.0,Powder
40,Podxetil  200mg Tablet,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/77fb21443b82433aaac03e9d6447060e.jpg",Koye Pharmaceuticals Pvt ltd,5.0,Tablet
41,Asar-CT 40/12.5 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/h2lejvcztjrmwp77366x.jpg",Glenmark Pharmaceuticals Ltd,5.0,Tablet
42,Azilide -XL Redimed,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/noi4i9uh1zhrj311qmkx.jpg",Micro Labs Ltd,5.0,Redimed
43,Atocor 5 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/r3bbls8tspxjkif9kwlo.jpg",Dr Reddy's Laboratories Ltd,5.0,Tablet
44,Atormac 40 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ficvcysvhuaq1esck0y7.jpg",Macleods Pharmaceuticals Pvt Ltd,5.0,Tablet
45,Prexaron Syrup Sugar Free,StrokeTreatment Head injuryTreatment Alzheimer's diseaseTreatment Dementia Parkinson's,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/c3350fc6141a46378435a51d3d4e5e14.jpg",Intas Pharmaceuticals Ltd,5.0,Free
46,Nimtech 100mg Tablet,Pain reliefTreatment Fever,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/d350556658254aca9846b90fcaa39e12.jpg",Macleods Pharmaceuticals Pvt Ltd,5.0,Tablet
47,Abrozac 100mg/600mg Tablet,Chronic obstructive pulmonary (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/0771a67a6d1a45b2ad7fbcf553bc5366.jpg",Ajanta Pharma Ltd,5.0,Tablet
48,Alcoxia-MR Tablet,Pain muscle spasm,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/aquqh2bxibqz69f8gpur.jpg",Algen Healthcare Limited,5.0,Tablet
49,Neo-Hp Kit,Peptic ulcer,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/41b022b853c040288634d36e7929b572.jpg",Parnasa Mediworld Pvt Ltd,5.0,Kit
50,Atorec CV 10 Capsule,Heart attack high cholesterol,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/b3eaae048bcf49f9b032257f8be8e4b1.jpg",Emcure Pharmaceuticals Ltd,5.0,Capsule
51,Propess Pessaries,Induction labour,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ydbmwflhbhygsdvluheg.jpg",Ferring Pharmaceuticals,5.0,Pessaries
52,Trimegavog 1 Tablet SR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/qu5ejpcq440xmwgwwcu6.jpg",Aristo Pharmaceuticals Pvt Ltd,5.0,SR
53,Luby Eye Drop,Dry eyes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ahy5gvqbrthvqtqoc7ou.jpg",Zodley Pharmaceuticals Pvt Ltd,5.0,Drop
54,Gifaxin  100 mg Syrup,Infectious diarrhea,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/c518fb2db47e4f69ab3d05df6f1bd6e3.jpg",Aristo Pharmaceuticals Pvt Ltd,5.0,Syrup
55,Stafcure 500 Tablet,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/b5a9dc82ea9d4c5486a16b571329640d.jpg",Macleods Pharmaceuticals Pvt Ltd,5.0,Tablet
56,Tsart-M 40/50 Tablet ER,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/e6825c7f921f4754a5addb922145dd4e.jpg",Alkem Laboratories Ltd,5.0,ER
57,Angicam-H 5mg/12.5mg Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/1e22ecd4010e49438cb6b870a7b9f112.jpg",Blue Cross Laboratories Ltd,5.0,Tablet
58,Winbp CT 40/12.5 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/wboyrshwqw2gz2dnpylz.jpg",Abbott,5.0,Tablet
59,Novastat EZ 10mg/10mg Tablet,High cholesterol,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/518872f483c546adb49c95fd050b2309.jpg",Lupin Ltd,5.0,Tablet
60,Priglip M 500mg/20mg Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/resur3mfw7banaggridy.jpg",Primus Remedies Pvt Ltd,5.0,Tablet
61,Vysov-M 850mg/50mg Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/uj1lskfnbz8by66tclhs.jpg",Cipla Ltd,5.0,Tablet
62,Avicaine Oral Topical Solution,Local anesthesia (Numb tissues a specific area),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/mt4kbiovipo2tqpsrr7d.jpg",Avirav Sciences Pvt Ltd,5.0,Solution
63,Avicaine Oral Topical Solution,Local anesthesia (Numb tissues a specific area),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/mt4kbiovipo2tqpsrr7d.jpg",Avirav Sciences Pvt Ltd,5.0,Solution
64,Amvibast 20mg Tablet,Allergic conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/0a488c2b56374913b471f85003cd9ff8.jpg",Amwill Healthcare,5.0,Tablet
65,All Klear Granules,Constipation,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/m80hdrx9ww7fmycu2cmn.jpg",Tablets India Limited,5.0,Granules
66,PA 650mg Tablet,Pain reliefTreatment Fever,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cp25nv6t37wocjewajzj.jpg",Lincoln Pharmaceuticals Ltd,5.0,Tablet
67,Nicostar OD 10 Tablet PR,Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/suss2ezlnqgve40o6afc.png",Lupin Ltd,5.0,PR
68,Torsid 20 Tablet,Hypertension (high blood pressure) Edema,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/k8u7z45esqs17wsfwtqe.jpg",Aristo Pharmaceuticals Pvt Ltd,5.0,Tablet
69,Pregabel 150mg Capsule,Neuropathic painTreatment Epilepsy/SeizuresTreatment Fibromyalgia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/j3whjmzugtegcyfmubdp.jpg",Knoll Pharmaceuticals Ltd,5.0,Capsule
70,Tsart-H Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/1bf9066d50514098a1e91879bd68b67a.jpg",Alkem Laboratories Ltd,5.0,Tablet
71,Tasulin-D Tablet ER,Benign prostatic hyperplasia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/bv9s2tfvdjmfdhwb7r0u.jpg",Ipca Laboratories Ltd,5.0,ER
72,Vogligress 0.2mg Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cd0691dbec8249ba9ea1be38951a13c7.jpg",La Renon Healthcare Pvt Ltd,5.0,Tablet
73,Telsar-LN 10 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/3349a94ca3684f69850df60c12e170e1.jpg",Torrent Pharmaceuticals Ltd,5.0,Tablet
74,Welooz-IG Husk Powder,Constipation,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/rcucsmwytspjqvkqqbg4.jpg",Wellicia Pharmaceuticals Pvt Ltd,5.0,Powder
75,Voglitab-M 0.2 Tablet SR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/vhpfjlnwyftayney9cwc.jpg",Intas Pharmaceuticals Ltd,5.0,SR
76,Momate-F Cream,Skin conditions with inflammation & itching,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/sr6wlkmq9z6g5zfity4e.jpg",Glenmark Pharmaceuticals Ltd,5.0,Cream
77,Prandial 0.2 MD Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/lx9uyhoavczj3inlozhj.jpg",Cipla Ltd,5.0,Tablet
78,Torsid Plus 20/50 Tablet,Edema,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ufp0sfibe2r4jdqtdny7.jpg",Aristo Pharmaceuticals Pvt Ltd,5.0,Tablet
79,Telista Trio CL 6.25 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/m7sxxai9nzjr9pgtz5qi.jpg",Lupin Ltd,5.0,Tablet
80,Netromax 300mg Injection,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/984a48d5db5140e7a486486963a0ede9.jpg",Zuventus Healthcare Ltd,5.0,Injection
81,Pentalink 40 Tablet,HeartburnTreatment Gastroesophageal reflux (Acid reflux) Peptic ulcer diseaseTreatment Zollinger-Ellison syndrome,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/wfgyx4jvpezumwtd4imn.jpg",Lincoln Pharmaceuticals Ltd,5.0,Tablet
82,Raptac Tablet,Gastroesophageal reflux (Acid reflux) Peptic ulcer diseaseTreatment Zollinger-Ellison syndrome,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/j9rrzpqf2h4nbefmhhaj.jpg",Rapross Pharmaceuticals Pvt Ltd,5.0,Tablet
83,Rabio Vaccine,Rabies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/62e5428e6e2a4be5a319c5b1142fdce0.jpg",Prosper Channel Lifescience India Pvt Ltd,5.0,Vaccine
84,Neurokem 50 Capsule,Neuropathic painTreatment Epilepsy/SeizuresTreatment Fibromyalgia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a05271b32cba4c28abae2a925e76843d.jpg",Alkem Laboratories Ltd,5.0,Capsule
85,Vincan Injection,Fungal infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/lhvcvcjkxurqxtqep97e.png",Vinder Pharma,5.0,Injection
86,Vinicor XL 100 Tablet,Hypertension (high blood pressure) Angina (heart-related chest pain) ArrhythmiaPrevention Heart attackPrevention Migraine,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/e71f1cb1bb0844069e602f744c1a4faa.jpg",Ipca Laboratories Ltd,5.0,Tablet
87,Voglikem-M 0.2 Forte Tablet SR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/v3ags5s5vow6tu6jixqh.jpg",Alkem Laboratories Ltd,5.0,SR
88,Nebistar-H Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/nxfyrseioqxljanqejdi.jpg",Lupin Ltd,5.0,Tablet
89,Afitra-L Cream,Fungal skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/uphix8srcsgpagsnhnsa.jpg",Rapross Pharmaceuticals Pvt Ltd,5.0,Cream
90,Pirasure Syrup,Alzheimer's Stroke Dementia Parkinson's Age related memory loss Head injury,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/dldh4e2zacix6qsqbprt.jpg",Matteo Healthcare Pvt Ltd,5.0,Syrup
91,Lulinext Lotion Spray,Fungal skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/blb5kl784bowll1ca0de.jpg",Ethinext Pharma,5.0,Spray
92,Leptomate 100 Tablet,Epilepsy/SeizuresPrevention Migraine Lennox–Gastaut syndrome,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/6462c1acbc8549a6938b2c0e7ba1dc64.jpg",La Renon Healthcare Pvt Ltd,5.0,Tablet
93,Arixib 90 Tablet,Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/m40hooyucvlswssmjykd.jpg",Pulse Pharmaceuticals,5.0,Tablet
94,Atorin 20 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/u007xpb3gaadlh76dxb2.jpg",Medley Pharmaceuticals,5.0,Tablet
95,Tryptinol 25 Tablet,Depression Neuropathic painTreatment Migraine,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/uty0bwiwjaufwaaeluhi.jpg",Knoll Pharmaceuticals Ltd,5.0,Tablet
96,Nepatak Eye Drop,Post-operative eye pain inflammation,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/e2365d5bbbc3467693ecfaa23b311c03.jpg",Pharmtak Ophtalmics India Pvt Ltd,5.0,Drop
97,Lulibest 1% Cream,Fungal skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/l9gughrksbukq47gardf.png",Rockmed Pharma Pvt. Ltd.,5.0,Cream
98,Adclin Gel,Acne,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/yajbxwzprqtkdnkz1ttx.jpg",Sigman Wellness,5.0,Gel
